heron,michigan,april 24
shoebill,kentucky,july 02
vulture,new york,september 01
flamingo,missouri,may 28
common teal,maine,august 06
heron,maine,august 19
albatross,new york,july 13
albatross,missouri,june 20
heron,kansas,july 07
little grebe,maine,may 24
bald eagle,kansas,june 17
common teal,kentucky,june 14
bald eagle,missouri,july 27
flamingo,kentucky,july 29
long-tailed duck,kansas,july 03
heron,missouri,august 07
shoebill,maine,october 20
shoebill,kansas,april 26
stork,michigan,august 31
vulture,new york,june 29
flamingo,kansas,may 14
stork,michigan,august 22
shoebill,kentucky,september 15
shoebill,kansas,august 02
stork,maine,september 11
albatross,michigan,july 26
heron,new york,november 30
stork,kansas,august 26
flamingo,missouri,may 30
little grebe,missouri,september 12
shoebill,missouri,june 05
flamingo,kentucky,may 26
bald eagle,new york,august 19
common teal,kansas,july 05
shoebill,michigan,may 24
bald eagle,michigan,july 12
heron,missouri,june 16
stork,missouri,april 19
common teal,michigan,july 15
long-tailed duck,maine,july 17
long-tailed duck,missouri,august 06
shoebill,maine,may 09
flamingo,missouri,september 18
flamingo,kansas,may 27
stork,kansas,june 19
shoebill,kentucky,may 21
shoebill,kansas,april 22
heron,maine,june 20
stork,maine,june 25
long-tailed duck,new york,september 16
little grebe,missouri,september 21
long-tailed duck,missouri,april 12
albatross,kansas,september 29
albatross,missouri,may 02
long-tailed duck,new york,september 19
bald eagle,kentucky,april 01
flamingo,new york,june 23
vulture,michigan,april 24
flamingo,new york,august 13
stork,missouri,august 22
common teal,kentucky,september 28
shoebill,new york,may 22
long-tailed duck,maine,july 17
long-tailed duck,kansas,may 18
flamingo,missouri,september 29
heron,michigan,may 04
vulture,kentucky,june 10
flamingo,kansas,september 22
long-tailed duck,kansas,june 30
stork,kansas,august 07
long-tailed duck,missouri,may 18
vulture,maine,may 21
bald eagle,maine,april 30
bald eagle,kentucky,june 20
heron,kansas,july 16
long-tailed duck,michigan,july 21
common teal,missouri,august 11
shoebill,kansas,march 23
long-tailed duck,missouri,october 24
flamingo,new york,may 31
flamingo,maine,july 05
shoebill,new york,may 14
little grebe,michigan,july 18
common teal,new york,august 13
vulture,missouri,april 28
stork,kansas,june 17
flamingo,maine,july 17
common teal,michigan,august 02
long-tailed duck,kansas,june 22
little grebe,kansas,september 07
long-tailed duck,kentucky,august 09
long-tailed duck,kentucky,april 29
long-tailed duck,new york,august 26
flamingo,kentucky,september 17
flamingo,new york,april 27
little grebe,michigan,july 04
stork,michigan,september 14
vulture,missouri,september 09
vulture,kansas,september 06
flamingo,kentucky,september 14
common teal,missouri,may 11
flamingo,michigan,june 24
stork,kansas,july 21
albatross,missouri,july 14
shoebill,kansas,may 09
heron,kentucky,july 04
shoebill,michigan,june 19
albatross,missouri,june 12
shoebill,maine,june 13
heron,maine,august 19
long-tailed duck,michigan,april 23
vulture,michigan,july 17
vulture,michigan,august 25
shoebill,new york,july 04
shoebill,missouri,july 04
bald eagle,kansas,july 28
shoebill,kentucky,july 05
vulture,kentucky,august 08
common teal,kansas,july 06
heron,new york,march 24
shoebill,maine,july 26
stork,missouri,may 23
albatross,new york,september 04
vulture,new york,july 08
flamingo,missouri,july 27
bald eagle,new york,june 08
common teal,michigan,june 11
heron,new york,may 23
common teal,maine,july 23
flamingo,kentucky,may 08
heron,kentucky,june 30
albatross,maine,september 25
albatross,maine,july 12
bald eagle,new york,september 09
flamingo,missouri,august 03
stork,kansas,may 15
shoebill,new york,july 09
long-tailed duck,michigan,may 28
flamingo,missouri,august 01
flamingo,kentucky,july 20
albatross,michigan,september 14
stork,kansas,june 14
bald eagle,missouri,july 28
long-tailed duck,new york,may 15
vulture,michigan,june 11
bald eagle,maine,may 22
vulture,kentucky,august 05
heron,kansas,july 11
little grebe,missouri,august 18
stork,missouri,june 28
vulture,kentucky,august 21
heron,missouri,september 23
albatross,kansas,september 24
little grebe,kansas,may 02
heron,maine,june 29
little grebe,michigan,july 29
vulture,kansas,july 08
stork,michigan,july 17
bald eagle,kansas,july 01
shoebill,new york,june 21
shoebill,new york,july 20
long-tailed duck,maine,june 09
heron,missouri,july 07
flamingo,kansas,august 08
common teal,kansas,may 06
albatross,new york,april 27
vulture,missouri,september 15
flamingo,missouri,august 14
common teal,kentucky,august 14
long-tailed duck,missouri,september 21
long-tailed duck,kansas,july 11
long-tailed duck,maine,august 27
albatross,michigan,may 29
albatross,kansas,july 02
shoebill,new york,march 12
stork,michigan,august 26
flamingo,kansas,july 12
little grebe,new york,july 23
stork,kentucky,july 07
albatross,kentucky,july 11
little grebe,kansas,august 08
albatross,new york,september 19
long-tailed duck,maine,august 18
albatross,missouri,april 29
albatross,maine,july 21
stork,kansas,november 08
stork,kentucky,may 26
shoebill,michigan,june 20
albatross,michigan,august 28
bald eagle,kansas,april 07
long-tailed duck,michigan,september 18
long-tailed duck,missouri,march 18
heron,maine,august 01
long-tailed duck,missouri,august 08
vulture,maine,october 22
albatross,kentucky,may 05
little grebe,kentucky,september 02
common teal,new york,june 18
stork,maine,july 25
stork,maine,july 14
albatross,missouri,july 28
flamingo,missouri,june 26
shoebill,new york,august 28
stork,kansas,june 16
vulture,new york,october 14
stork,missouri,july 07
heron,kentucky,may 30
long-tailed duck,kansas,november 14
heron,michigan,august 09
bald eagle,michigan,april 19
shoebill,maine,july 30
bald eagle,missouri,october 21
albatross,new york,june 21
shoebill,kansas,august 09
stork,new york,august 04
shoebill,michigan,september 12
flamingo,maine,august 14
bald eagle,new york,october 11
heron,maine,september 12
little grebe,kentucky,july 13
vulture,michigan,may 30
long-tailed duck,michigan,june 07
little grebe,michigan,september 20
albatross,michigan,august 12
stork,maine,june 24
bald eagle,kansas,september 30
common teal,maine,july 25
shoebill,maine,june 09
long-tailed duck,michigan,july 22
shoebill,new york,june 20
stork,kentucky,september 03
stork,maine,november 16
bald eagle,kansas,september 20
flamingo,maine,september 10
stork,kansas,april 08
common teal,kentucky,september 09
long-tailed duck,michigan,november 01
flamingo,kentucky,june 17
long-tailed duck,michigan,july 10
common teal,new york,july 30
heron,kentucky,august 08
bald eagle,missouri,july 16
albatross,michigan,may 05
vulture,maine,june 28
shoebill,kentucky,june 22
albatross,kentucky,july 10
shoebill,maine,july 26
stork,new york,july 12
bald eagle,missouri,august 08
stork,michigan,july 10
shoebill,kansas,september 13
heron,missouri,april 27
albatross,maine,august 23
little grebe,michigan,july 13
flamingo,missouri,june 10
shoebill,michigan,july 07
shoebill,michigan,june 19
long-tailed duck,missouri,september 10
long-tailed duck,kansas,july 11
vulture,maine,june 19
vulture,maine,july 14
long-tailed duck,kentucky,june 16
common teal,new york,april 18
little grebe,michigan,july 25
little grebe,michigan,august 08
shoebill,new york,october 22
long-tailed duck,maine,may 31
little grebe,new york,may 23
bald eagle,maine,june 29
long-tailed duck,michigan,september 14
heron,new york,july 21
little grebe,missouri,june 20
vulture,maine,june 01
bald eagle,new york,july 13
long-tailed duck,kansas,august 23
shoebill,new york,july 15
vulture,kentucky,september 25
heron,kentucky,october 01
shoebill,kansas,july 27
shoebill,kentucky,july 19
shoebill,maine,june 09
flamingo,kansas,september 14
bald eagle,new york,july 19
long-tailed duck,kansas,june 19
heron,kansas,july 04
vulture,missouri,july 21
common teal,kentucky,july 21
flamingo,new york,july 12
heron,maine,august 09
little grebe,missouri,june 20
bald eagle,kansas,july 13
flamingo,kentucky,july 01
flamingo,kentucky,august 19
stork,new york,june 29
little grebe,maine,september 16
vulture,kansas,june 25
albatross,new york,july 09
albatross,kentucky,april 01
bald eagle,maine,september 08
vulture,missouri,june 28
stork,maine,july 26
vulture,kentucky,may 10
common teal,new york,march 09
flamingo,kentucky,september 16
shoebill,kansas,july 06
flamingo,kentucky,july 10
shoebill,new york,august 09
stork,missouri,july 28
vulture,maine,august 12
common teal,new york,july 03
shoebill,missouri,july 13
albatross,new york,june 28
bald eagle,new york,june 03
heron,missouri,june 09
long-tailed duck,kansas,june 02
albatross,maine,july 09
heron,michigan,august 07
long-tailed duck,maine,july 06
little grebe,new york,august 06
stork,maine,july 10
shoebill,kentucky,july 29
stork,kansas,june 23
shoebill,michigan,july 08
heron,michigan,august 14
little grebe,maine,july 15
common teal,michigan,july 07
flamingo,kansas,august 08
common teal,kansas,june 12
vulture,missouri,june 09
heron,maine,july 17
shoebill,kansas,august 26
heron,maine,june 24
heron,missouri,july 02
vulture,kansas,july 07
common teal,kentucky,june 26
stork,new york,july 14
stork,michigan,september 18
heron,missouri,july 17
flamingo,michigan,june 18
albatross,kentucky,september 01
stork,kentucky,june 21
long-tailed duck,new york,july 24
long-tailed duck,michigan,may 25
common teal,missouri,august 07
flamingo,new york,may 11
bald eagle,missouri,june 02
stork,kansas,april 22
stork,kansas,may 08
albatross,new york,october 18
flamingo,kansas,july 12
heron,missouri,september 24
common teal,maine,september 04
vulture,michigan,august 17
long-tailed duck,new york,june 12
heron,maine,june 22
bald eagle,new york,september 16
shoebill,michigan,june 22
flamingo,michigan,july 02
vulture,missouri,july 29
vulture,kentucky,august 31
stork,michigan,april 05
heron,new york,june 12
shoebill,kansas,july 05
albatross,kansas,july 03
flamingo,maine,june 03
albatross,kentucky,may 30
common teal,maine,august 08
flamingo,missouri,august 16
shoebill,michigan,june 10
common teal,new york,september 05
common teal,maine,may 09
little grebe,missouri,august 31
albatross,kentucky,june 16
flamingo,new york,october 14
common teal,michigan,august 21
common teal,michigan,june 11
little grebe,maine,september 20
long-tailed duck,new york,july 15
flamingo,maine,october 01
vulture,new york,may 29
heron,michigan,june 27
heron,michigan,july 19
stork,missouri,june 29
flamingo,kansas,june 21
albatross,michigan,june 09
flamingo,maine,september 04
flamingo,kansas,june 19
vulture,missouri,june 27
common teal,kansas,june 09
little grebe,maine,july 10
vulture,missouri,may 27
flamingo,kansas,july 09
little grebe,kentucky,july 19
shoebill,michigan,may 20
little grebe,new york,july 04
vulture,kansas,april 19
albatross,maine,april 21
little grebe,kentucky,june 03
shoebill,new york,august 05
stork,maine,june 11
shoebill,michigan,may 28
heron,kentucky,september 09
stork,michigan,september 19
long-tailed duck,maine,may 19
flamingo,maine,july 08
common teal,michigan,may 23
stork,kentucky,july 10
heron,missouri,may 31
heron,missouri,september 24
vulture,new york,july 24
flamingo,new york,may 31
heron,kansas,june 27
little grebe,kentucky,august 16
stork,michigan,july 28
shoebill,new york,september 03
flamingo,kentucky,april 25
common teal,missouri,july 11
vulture,new york,june 17
common teal,maine,july 27
shoebill,michigan,june 26
long-tailed duck,kansas,june 17
albatross,michigan,august 30
heron,kansas,september 08
shoebill,maine,june 29
vulture,maine,november 24
heron,maine,august 30
stork,kansas,june 25
vulture,kansas,april 05
vulture,maine,may 30
common teal,michigan,july 31
heron,kentucky,august 20
little grebe,new york,may 29
heron,new york,june 21
shoebill,new york,august 03
vulture,missouri,may 29
little grebe,kentucky,june 19
vulture,new york,july 30
flamingo,kansas,july 17
bald eagle,michigan,september 29
stork,maine,june 14
stork,maine,august 18
common teal,missouri,july 03
flamingo,maine,may 13
albatross,kentucky,september 05
little grebe,kentucky,october 23
flamingo,missouri,august 29
common teal,new york,july 31
vulture,kansas,july 01
little grebe,kansas,august 28
albatross,new york,june 06
little grebe,new york,august 12
stork,maine,may 30
heron,michigan,april 28
flamingo,kansas,july 08
flamingo,kentucky,september 13
long-tailed duck,missouri,july 30
vulture,kentucky,april 07
albatross,kentucky,july 06
heron,kansas,august 06
albatross,kentucky,august 27
shoebill,new york,june 19
shoebill,kansas,july 31
long-tailed duck,kansas,august 08
shoebill,kentucky,may 26
stork,new york,june 09
vulture,kentucky,may 21
shoebill,missouri,july 16
long-tailed duck,maine,may 12
flamingo,kentucky,june 24
bald eagle,maine,june 22
common teal,maine,august 27
vulture,new york,july 08
bald eagle,maine,september 06
albatross,missouri,june 10
heron,maine,july 13
shoebill,michigan,august 10
long-tailed duck,maine,october 19
heron,kentucky,may 29
vulture,maine,may 23
vulture,kentucky,july 24
albatross,michigan,june 21
albatross,kansas,august 06
heron,maine,october 09
shoebill,kentucky,april 24
shoebill,new york,july 24
stork,new york,may 12
long-tailed duck,new york,july 13
long-tailed duck,new york,june 07
stork,missouri,april 14
long-tailed duck,maine,september 01
heron,missouri,july 27
long-tailed duck,kansas,july 18
heron,kansas,august 07
little grebe,new york,september 18
shoebill,kansas,july 24
heron,new york,august 05
shoebill,kansas,july 12
albatross,new york,march 18
common teal,new york,may 02
vulture,michigan,july 30
vulture,new york,may 28
common teal,maine,june 22
common teal,new york,august 19
little grebe,new york,august 10
long-tailed duck,kansas,july 05
heron,maine,july 17
long-tailed duck,missouri,august 11
long-tailed duck,maine,june 16
little grebe,new york,may 28
albatross,maine,july 06
stork,maine,june 15
stork,kansas,may 16
common teal,kentucky,july 08
albatross,new york,july 10
common teal,michigan,march 08
stork,kansas,june 27
common teal,maine,august 11
vulture,kansas,september 14
common teal,maine,october 07
long-tailed duck,kansas,november 09
vulture,michigan,august 16
shoebill,michigan,july 22
bald eagle,maine,june 25
bald eagle,kentucky,july 28
flamingo,michigan,june 29
stork,kentucky,july 14
long-tailed duck,kentucky,july 16
shoebill,michigan,june 02
heron,kentucky,august 28
shoebill,missouri,october 26
bald eagle,new york,may 21
heron,kansas,june 28
common teal,kansas,september 05
heron,missouri,july 11
stork,new york,september 17
long-tailed duck,kentucky,may 12
common teal,kansas,september 06
bald eagle,kansas,september 02
albatross,missouri,august 11
little grebe,kansas,august 06
vulture,maine,july 11
common teal,maine,july 04
bald eagle,new york,august 03
vulture,maine,august 23
albatross,missouri,october 28
albatross,michigan,august 12
flamingo,michigan,july 22
long-tailed duck,maine,june 10
common teal,maine,july 10
heron,maine,may 15
long-tailed duck,kansas,august 22
long-tailed duck,missouri,june 23
long-tailed duck,michigan,july 06
long-tailed duck,maine,june 27
heron,missouri,july 16
flamingo,new york,july 05
stork,michigan,august 02
vulture,maine,july 04
vulture,michigan,november 03
long-tailed duck,missouri,july 29
common teal,kentucky,october 06
bald eagle,maine,august 21
little grebe,kansas,june 20
heron,maine,september 03
bald eagle,kansas,april 23
shoebill,maine,june 02
bald eagle,maine,june 04
little grebe,missouri,july 15
shoebill,kansas,july 10
common teal,kentucky,october 17
vulture,new york,july 05
long-tailed duck,michigan,may 25
albatross,kentucky,september 24
shoebill,new york,november 22
vulture,kentucky,august 11
vulture,maine,july 09
stork,missouri,july 31
